,preco,quartos,suites,vagas,m2,bairro,zona_centro,zona_leste,zona_norte,zona_oeste,zona_sul
6552,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
6553,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
6554,380000,2,0,0,65,Tatuapé,0,1,0,0,0
6555,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
6556,279000,2,0,0,90,Cambuci,0,1,0,0,0
6557,619000,3,1,5,180,Vila Matilde,0,1,0,0,0
6558,590000,3,0,1,225,Mooca,0,1,0,0,0
6559,580000,3,1,2,130,Vila Ema,0,1,0,0,0
6560,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
6561,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
6562,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
6563,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
6564,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
6565,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
6566,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
6567,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
6568,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
6569,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
6570,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
6571,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
6572,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
6573,320000,3,0,2,141,São Mateus,0,1,0,0,0
6574,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
6575,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
6576,380000,2,0,0,65,Tatuapé,0,1,0,0,0
6577,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
6578,485000,3,2,2,90,Aricanduva,0,1,0,0,0
6579,530001,3,1,2,150,Vila Ré,0,1,0,0,0
6580,875000,3,3,5,300,Vila Ré,0,1,0,0,0
6581,580000,3,1,2,130,Vila Ema,0,1,0,0,0
6582,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
6583,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
6584,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
6585,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
6586,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
6587,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
6588,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
6589,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
6590,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
6591,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
6592,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
6593,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
6594,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
6595,320000,3,0,2,141,São Mateus,0,1,0,0,0
6596,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
6597,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
6598,380000,2,0,0,65,Tatuapé,0,1,0,0,0
6599,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
6600,1800000,4,4,3,276,Tatuapé,0,1,0,0,0
6601,900000,3,1,7,560,Vila Ré,0,1,0,0,0
6602,660000,3,1,5,200,Penha,0,1,0,0,0
6603,580000,3,1,2,130,Vila Ema,0,1,0,0,0
6604,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
6605,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
6606,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
6607,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
6608,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
6609,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
6610,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
6611,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
6612,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
6613,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
6614,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
6615,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
6616,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
6617,320000,3,0,2,141,São Mateus,0,1,0,0,0
